@relation weather.symbolic

@attribute outlook {sunny, overcast, rainy}
@attribute temperature {hot, mild, cool}
@attribute humidity {high, normal}
@attribute windy {TRUE, FALSE}
@attribute play {yes, no}

@data
sunny,hot,high,FALSE,no
sunny,hot,normal,FALSE,no
overcast,mild,high,FALSE,yes
overcast,mild,normal,FALSE,yes
rainy,cool,normal,FALSE,yes
rainy,hot,high,TRUE,no
sunny,cool,normal,TRUE,yes
sunny,mild,high,TRUE,no
sunny,cool,normal,FALSE,yes
rainy,mild,high,FALSE,yes
rainy,mild,normal,TRUE,yes
overcast,mild,high,FALSE,yes
overcast,mild,high,FALSE,yes
rainy,mild,high,TRUE,no
overcast,cool,normal,TRUE,no
rainy,mild,high,FALSE,yes
rainy,mild,normal,TRUE,yes
overcast,mild,high,FALSE,yes
overcast,mild,high,FALSE,yes
rainy,mild,high,TRUE,no
overcast,cool,normal,TRUE,no
rainy,mild,high,FALSE,yes
rainy,mild,normal,TRUE,yes
overcast,mild,high,FALSE,yes
overcast,mild,high,FALSE,yes
rainy,mild,high,TRUE,no
overcast,cool,normal,TRUE,no
rainy,cool,normal,TRUE,yes
